id_documento,titulo,tipo_documental,serie,dependencia,fecha_creacion,fecha_digitalizacion,formato,peso_kb,num_paginas,idioma,estado,clasificacion,digitalizador,calidad_imagen,observaciones
AHB-2019-1082,Contrato #354,Contrato,Contratos y Convenios,Planeación,2019-12-03 16:26:17.257525,2020-11-27 16:26:17.257525,PDF,3033.7,37,es,Activo,Público,Juan Martínez,3.0,
AHB-2020-1112,Acta #841,DECRETO,Actas de Reunión,Hacienda,2020-08-15 21:21:16.254180,2020-10-24 21:21:16.254180,PNG,6208.4,51,es,Inactivo,Confidencial,Juan Martínez,3.0,
AHB-2020-1141,Informe #481,Informe,Informes de Gestión,Secretaría General,2021-04-20 23:06:25.284280,2022-07-25 23:06:25.284280,PNG,5709.1,39,es,Transferido,Público,Carlos López,1.0,
AHB-2023-1274,Oficio #997,Oficio,Oficios,Planeación,2024-05-31 16:54:10.836120,2025-10-28 16:54:10.836120,TIFF,3296.4,74,es,Eliminado,Público,Laura Sánchez,3.0,
AHB-2020-1106,Solicitud #936,Solicitud,Solicitudes Ciudadanas,Hacienda,2020-06-25 20:22:16.454849,2022-03-27 20:22:16.454849,TIFF,1266.3,36,es,Eliminado,Confidencial,Juan Martínez,1.0,
AHB-2022-1218,,Informe,Informes de Gestión,,2023-02-08 05:43:32.709030,2024-04-17 05:43:32.709030,,1759503.2356783843,41,es,Inactivo,Confidencial,Juan Martínez,,
AHB-2021-1162,Solicitud #909,memorando,Solicitudes Ciudadanas,Secretaría General,2021-10-17 04:32:54.581939,2023-01-10 04:32:54.581939,PDF,1572.8,75,es,Activo,Público,Ana García,5.0,
AHB-2018-1002,Contrato #295,Contrato,Contratos y Convenios,Secretaría General,2018-01-18 09:19:39.933110,2019-09-18 09:19:39.933110,JPEG,3095.1,11,es,Eliminado,Reservado,Juan Martínez,2.0,
AHB-2023-1275,Memorando #051,Memorando,Memorandos,Planeación,2024-06-09 04:04:00.802675,2025-12-02 04:04:00.802675,JPEG,2602.4,30,es,Inactivo,Reservado,Juan Martínez,3.0,
AHB-2023-1278,Solicitud #764,Solicitud,Solicitudes Ciudadanas,Secretaría General,2024-07-04 19:33:30.702341,2025-01-25 19:33:30.702341,PNG,3322.6,23,es,Transferido,Reservado,María Rodríguez,1.0,
AHB-2020-1115,Solicitud #508,Solicitud,Solicitudes Ciudadanas,Hacienda,2020-09-10 16:50:46.153846,2022-06-19 16:50:46.153846,PDF,4760.2,72,es,Eliminado,Reservado,Carlos López,3.0,
AHB-2018-1003,Circular #449,Circular,Circulares,Planeación,2018-01-27 02:29:29.899665,2019-06-10 02:29:29.899665,PDF,1264.8,6,es,Activo,Público,Juan Martínez,1.0,
AHB-2021-1164,Solicitud #500,Solicitud,Solicitudes Ciudadanas,Jurídica,2021-11-03 09:52:34.515050,2023-04-23 09:52:34.515050,JPEG,2248.2,30,es,Eliminado,Confidencial,Laura Sánchez,,
AHB-2019-1086,Circular #557,Circular,Circulares,Jurídica,2020-01-06 13:05:37.123745,2020-04-21 13:05:37.123745,TIFF,6653.0,56,es,Eliminado,Público,Laura Sánchez,4.0,
AHB-2019-1061,Contrato #425,Contrato,Contratos y Convenios,Secretaría General,2019-06-07 03:59:47.959866,2019-09-24 03:59:47.959866,JPEG,296.7,64,es,Eliminado,Reservado,Laura Sánchez,5.0,
AHB-2023-1284,Certificado #795,Certificado,Certificados y Constancias,Secretaría General,2024-08-25 04:32:30.501672,2025-12-31 04:32:30.501672,JPEG,750.1,24,es,Transferido,Público,Carlos López,4.0,
AHB-2018-1010,Memorando #646,Memorando,Memorandos,Planeación,2018-03-27 19:38:19.665551,2019-12-01 19:38:19.665551,DOCX,3146.3,4,es,Activo,Reservado,Ana García,2.0,
AHB-2018-1007,Oficio #125,Oficio,Oficios,Planeación,2018-03-02 04:08:49.765886,2018-04-18 04:08:49.765886,PNG,3754.1,74,es,Eliminado,Reservado,Laura Sánchez,5.0,
AHB-2018-1036,Oficio #522,Oficio,Oficios,Secretaría General,2018-11-05 03:53:58.795986,2018-12-19 03:53:58.795986,DOCX,4296.3,48,es,Activo,Reservado,Ana García,4.0,
AHB-2019-1051,Acta #521,Acta,Actas de Reunión,Archivo Histórico,2019-03-13 07:21:28.294314,2020-05-01 07:21:28.294314,PNG,3401.4,50,es,Eliminado,Público,María Rodríguez,3.0,
AHB-2019-1053,Oficio #901,Oficio,Oficios,Archivo Histórico,2019-03-30 12:41:08.227424,2020-02-26 12:41:08.227424,PNG,3788.9,54,es,Eliminado,Público,María Rodríguez,2.0,
AHB-2019-1084,Informe #566,Informe,Informes de Gestión,Planeación,2019-12-20 16:45:57.190635,2020-05-20 16:45:57.190635,PDF,1626.7,2,es,Activo,Reservado,Carlos López,5.0,
AHB-2021-1199,Informe #150,Informe,Informes de Gestión,Jurídica,2022-08-29 19:36:43.344481,2024-07-08 19:36:43.344481,PNG,4486.7,23,es,Transferido,Público,Ana García,4.0,
AHB-2023-1255,Decreto #243,Decreto,Decretos,Planeación,2023-12-21 03:47:21.471571,2025-11-13 03:47:21.471571,JPEG,255.6,7,es,Eliminado,Confidencial,Ana García,2.0,
AHB-2019-1092,Informe #194,Informe,Informes de Gestión,secretaria general,2020-02-26 21:04:36.923076,2020-08-01 21:04:36.923076,JPEG,6380.0,6,es,Inactivo,Reservado,María Rodríguez,5.0,
AHB-2020-1121,Memorando #605,Memorando,Memorandos,Hacienda,2020-10-31 21:49:45.953177,2022-04-04 21:49:45.953177,JPEG,6016.3,52,es,Transferido,Público,Juan Martínez,1.0,
AHB-2020-1101,Informe #045,Informe,Informes de Gestión,Hacienda,2020-05-13 17:33:06.622073,2021-08-16 17:33:06.622073,DOCX,3947.1,10,es,Inactivo,Confidencial,Carlos López,5.0,
AHB-2021-1152,,Circular,Circulares,,2021-07-23 16:54:34.916387,2021-11-06 16:54:34.916387,,4425.6,48,es,Activo,Reservado,Laura Sánchez,,
AHB-2020-1124,Circular #103,Circular,Circulares,Planeación,2020-11-26 09:19:15.852842,2022-03-14 09:19:15.852842,DOCX,2724.4,6,es,Eliminado,Reservado,Juan Martínez,4.0,
AHB-2020-1114,Oficio #156,Oficio,Oficios,Hacienda,2020-09-01 22:40:56.187290,2021-11-28 22:40:56.187290,JPEG,6614.6,44,es,Inactivo,Confidencial,María Rodríguez,1.0,
AHB-2018-1049,Memorando #944,Memorando,Memorandos,Secretaría General,2019-02-24 05:01:48.361204,2019-12-18 05:01:48.361204,DOCX,2262.1,7,es,Transferido,Confidencial,Ana García,4.0,
AHB-2018-1004,Informe #902,Informe,Informes de Gestión,Jurídica,2018-02-04 14:39:19.866220,2019-07-29 14:39:19.866220,DOCX,1750.9,74,es,Activo,Confidencial,Ana García,3.0,
AHB-2019-1063,Resolución #957,Resolución,Resoluciones Administrativas,Planeación,2019-06-24 00:19:27.892976,2020-09-13 00:19:27.892976,PNG,6721.9,60,es,Eliminado,Reservado,Ana García,1.0,
AHB-2020-1147,Circular #710,Circular,Circulares,Archivo Histórico,2021-06-11 08:05:25.083612,2022-10-12 08:05:25.083612,JPEG,5328.5,63,es,Activo,Confidencial,Carlos López,1.0,
AHB-2020-1108,Resolución #391,Resolución,Resoluciones Administrativas,Archivo Histórico,2020-07-12 18:41:56.387959,2022-04-16 18:41:56.387959,JPEG,4197.9,79,es,Eliminado,Confidencial,María Rodríguez,3.0,
AHB-2020-1107,Acta #831,Acta,Actas de Reunión,arch. historico,2020-07-04 06:32:06.421404,2021-05-31 06:32:06.421404,PDF,1450.3,80,es,Transferido,Público,María Rodríguez,2.0,
AHB-2021-1179,Oficio #101,Oficio,Oficios,Archivo Histórico,2022-03-11 12:20:04.013377,2022-05-18 12:20:04.013377,PDF,5121.1,57,es,Activo,Confidencial,Carlos López,4.0,
AHB-2023-1280,Solicitud #853,Solicitud,Solicitudes Ciudadanas,Hacienda,2024-07-22 06:53:10.635451,2024-12-11 06:53:10.635451,PDF,5317.5,23,es,Inactivo,Reservado,Carlos López,5.0,
AHB-2023-1296,Informe #774,Informe,Informes de Gestión,Planeación,2024-12-05 19:30:30.100334,2026-05-15 19:30:30.100334,PNG,4013.0,68,es,Inactivo,Confidencial,Juan Martínez,3.0,
AHB-2020-1118,Contrato #130,Contrato,Contratos y Convenios,Archivo Histórico,2020-10-06 09:20:16.053511,2022-06-04 09:20:16.053511,JPEG,7480.2,26,es,Transferido,Reservado,María Rodríguez,1.0,
AHB-2023-1289,,Certificado,Certificados y Constancias,,2024-10-06 22:21:40.334448,2026-03-19 22:21:40.334448,,6608.2,73,es,Eliminado,Público,Juan Martínez,,
AHB-2022-1205,Informe #812,Informe,Informes de Gestión,Secretaría General,2022-10-19 23:35:43.143812,2023-09-02 23:35:43.143812,DOCX,7272.6,34,es,Eliminado,Público,María Rodríguez,3.0,
AHB-2022-1217,Acta #935,Acta,Actas de Reunión,Archivo Histórico,2023-01-30 07:33:42.742474,2024-12-17 07:33:42.742474,PDF,1956.9,63,es,Inactivo,Reservado,Juan Martínez,4.0,
AHB-2020-1134,Contrato #148,Contrato,Contratos y Convenios,Secretaría General,2021-02-20 00:57:35.518394,2022-10-22 00:57:35.518394,JPEG,4157.2,18,es,Eliminado,Público,María Rodríguez,1.0,
AHB-2021-1153,Circular #873,Circular,Circulares,Secretaría General,2021-08-01 09:04:24.882943,2022-07-19 09:04:24.882943,DOCX,2846.9,43,es,Eliminado,Público,Juan Martínez,5.0,
AHB-2021-1186,Acta #171,Acta,Actas de Reunión,Secretaría General,2022-05-10 08:28:53.779264,2023-01-24 08:28:53.779264,PDF,7725.7,65,es,Eliminado,Confidencial,Juan Martínez,1.0,
AHB-2020-1113,Memorando #668,Memorando,Memorandos,,2020-08-24 08:31:06.220735,2021-12-18 08:31:06.220735,DOCX,3745.7,48,es,Eliminado,Confidencial,Ana García,,
AHB-2023-1282,Contrato #925,Contrato,Contratos y Convenios,Archivo Histórico,2024-08-07 23:12:50.568561,2024-09-30 23:12:50.568561,TIFF,6096.0,51,es,Eliminado,Confidencial,Carlos López,4.0,
AHB-2018-1026,Decreto #473,Decreto,Decretos,Hacienda Dist.,2018-08-11 16:15:39.130434,2019-09-05 16:15:39.130434,PNG,3931.4,60,es,Activo,Público,Ana García,3.0,
AHB-2020-1137,Contrato #671,Contrato,Contratos y Convenios,juridica,2021-03-17 16:27:05.418060,2022-07-04 16:27:05.418060,PDF,3281.1,41,es,Eliminado,Confidencial,Ana García,2.0,
AHB-2018-1044,Informe #468,Informe,Informes de Gestión,Jurídica,2019-01-12 19:12:38.528428,2020-08-22 19:12:38.528428,DOCX,2118.2,35,es,Activo,Confidencial,María Rodríguez,2.0,
AHB-2020-1142,Contrato #801,Contrato,Contratos y Convenios,Secretaría General,2021-04-29 08:16:15.250836,2022-12-06 08:16:15.250836,JPEG,3613.0,76,es,Eliminado,Reservado,Laura Sánchez,3.0,
AHB-2022-1242,Contrato #655,Contrato,Contratos y Convenios,Hacienda,2023-09-01 07:39:31.906354,2024-01-14 07:39:31.906354,TIFF,6602.7,35,es,Transferido,Público,Juan Martínez,3.0,
AHB-2022-1237,,Resolución,Resoluciones Administrativas,,2023-07-20 09:50:22.073578,2025-01-10 09:50:22.073578,,2161.8,33,es,Inactivo,Reservado,María Rodríguez,,
AHB-2019-1056,Resolución #072,Resolución,Resoluciones Administrativas,Jurídica,2019-04-25 05:10:38.127090,2020-08-09 05:10:38.127090,TIFF,7617.8,42,es,Inactivo,Confidencial,María Rodríguez,2.0,
AHB-2023-1294,Informe #257,Informe,Informes de Gestión,Archivo Histórico,2024-11-18 13:10:50.167224,2025-08-25 13:10:50.167224,TIFF,4171.6,59,es,Eliminado,Público,Laura Sánchez,3.0,
AHB-2020-1144,Decreto #272,Decreto,Decretos,Jurídica,2021-05-16 06:35:55.183946,2021-11-25 06:35:55.183946,PDF,2389.2,65,es,Activo,Público,Juan Martínez,3.0,
AHB-2021-1198,Resolución #442,Resolución,Resoluciones Administrativas,Planeación,2022-08-21 05:26:53.377926,2024-08-06 05:26:53.377926,DOCX,2023.1,41,es,Transferido,Público,Ana García,1.0,
AHB-2023-1288,Solicitud #822,Solicitud,Solicitudes Ciudadanas,Jurídica,2024-09-28 13:11:50.367892,2026-09-27 13:11:50.367892,PNG,6926.0,39,es,Inactivo,Confidencial,María Rodríguez,5.0,
AHB-2023-1273,Solicitud #763,Solicitud,Solicitudes Ciudadanas,Planeación,2024-05-23 07:44:20.869565,2025-06-19 07:44:20.869565,TIFF,3786.6,12,es,Inactivo,Confidencial,Juan Martínez,5.0,
AHB-2019-1096,Informe #393,Informe,Informes de Gestión,Planeación,2020-04-01 01:43:56.789297,2022-01-05 01:43:56.789297,DOCX,5309.1,72,es,Inactivo,Público,María Rodríguez,2.0,
AHB-2021-1158,Informe #978,Informe,Informes de Gestión,Secretaría General,2021-09-13 02:53:34.715719,2021-10-24 02:53:34.715719,PNG,2558.6,4,es,Transferido,Reservado,Ana García,4.0,
AHB-2022-1208,Circular #180,Circular,Circulares,Secretaría General,2022-11-14 14:05:13.043478,2024-09-03 14:05:13.043478,JPEG,3459.2,25,es,Eliminado,Público,Carlos López,4.0,
AHB-2023-1269,Certificado #580,Certificado,Certificados y Constancias,Jurídica,2024-04-18 22:05:01.003344,2025-11-24 22:05:01.003344,PDF,7975.7,37,es,Eliminado,Reservado,Laura Sánchez,1.0,
AHB-2022-1225,Certificado #262,Certificado,Certificados y Constancias,Archivo Histórico,2023-04-09 02:52:22.474916,2023-11-15 02:52:22.474916,TIFF,2297.6,74,es,Eliminado,Confidencial,Carlos López,1.0,
AHB-2021-1177,Memorando #093,Memorando,Memorandos,Jurídica,2022-02-22 16:00:24.080267,2023-12-17 16:00:24.080267,DOCX,2372.5,25,es,Eliminado,Público,Carlos López,1.0,
AHB-2018-1040,Informe #855,Informe,Informes de Gestión,Jurídica,2018-12-09 11:33:18.662207,2019-02-27 11:33:18.662207,JPEG,717.4,41,es,Activo,Confidencial,Juan Martínez,4.0,
AHB-2018-1006,Acta #497,Acta,Actas de Reunión,Archivo Histórico,2018-02-21 15:58:59.799331,2019-01-03 15:58:59.799331,DOCX,2680.5,27,es,Activo,Público,Laura Sánchez,4.0,
AHB-2019-1081,Solicitud #496,Solicitud,Solicitudes Ciudadanas,Jurídica,2019-11-25 02:16:27.290969,2020-11-17 02:16:27.290969,JPEG,7268.8,61,es,Activo,Reservado,María Rodríguez,5.0,
AHB-2022-1235,Oficio #162,Oficio,Oficios,Secretaría General,2023-07-03 14:30:42.140468,2024-12-04 14:30:42.140468,PDF,1837.2,45,es,Activo,Reservado,Laura Sánchez,5.0,
AHB-2019-1090,Solicitud #330,Solicitud,Solicitudes Ciudadanas,Secretaría General,2020-02-10 01:44:56.989966,2020-08-06 01:44:56.989966,TIFF,5489.9,52,es,Eliminado,Confidencial,Carlos López,2.0,
AHB-2022-1240,Circular #602,Circular,Circulares,Planeación,2023-08-15 07:19:51.973244,2024-07-25 07:19:51.973244,DOCX,6351.4,26,es,Activo,Reservado,Ana García,2.0,
AHB-2020-1125,Circular #896,Circular,Circulares,Hacienda,2020-12-05 04:29:05.819398,2022-03-13 04:29:05.819398,DOCX,1577697.547941614,5,es,Transferido,Reservado,Carlos López,4.0,
AHB-2022-1204,Decreto #699,Decreto,Decretos,Jurídica,2022-10-11 08:25:53.177257,2023-01-06 08:25:53.177257,JPEG,3074.0,46,es,Transferido,Reservado,Carlos López,4.0,
AHB-2023-1280,Solicitud #853,Solicitud,Solicitudes Ciudadanas,Hacienda,2024-07-22 06:53:10.635451,2024-12-11 06:53:10.635451,PDF,5317.5,23,es,Inactivo,Reservado,Carlos López,5.0,
AHB-2020-1136,Acta #892,Acta,Actas de Reunión,Planeación,2021-03-08 22:17:15.451505,2022-04-06 22:17:15.451505,DOCX,1968.8,79,es,Transferido,Público,María Rodríguez,5.0,
AHB-2019-1072,Solicitud #858,Solicitud,Solicitudes Ciudadanas,HACIENDA,2019-09-08 20:47:57.591973,2020-08-15 20:47:57.591973,PNG,4866.8,31,es,Transferido,Público,Ana García,3.0,
AHB-2019-1076,Resolución #502,Resolución,Resoluciones Administrativas,Hacienda,2019-10-13 09:27:17.458193,2021-07-23 09:27:17.458193,DOCX,1351.9,7,es,Inactivo,Confidencial,Ana García,4.0,
AHB-2022-1248,Resolución #866,Resolución,Resoluciones Administrativas,Secretaría General,2023-10-22 08:38:31.705685,2025-10-01 08:38:31.705685,DOCX,2214.4,76,es,Eliminado,Confidencial,Juan Martínez,5.0,
AHB-2021-1196,,Oficio,Oficios,,2022-08-03 21:07:13.444816,2023-06-17 21:07:13.444816,,7595.5,68,es,Activo,Público,Juan Martínez,,
AHB-2022-1226,,Certificado,Certificados y Constancias,,2023-04-17 06:02:12.441471,2024-04-01 06:02:12.441471,,6883.9,70,es,Inactivo,Reservado,Ana García,,
AHB-2021-1172,Acta #701,Acta,Actas de Reunión,Planeación,2022-01-10 23:11:14.247491,2022-12-23 23:11:14.247491,TIFF,2453.0,19,es,Transferido,Confidencial,Juan Martínez,5.0,
AHB-2021-1174,Oficio #295,Oficio,Oficios,Archivo Histórico,2022-01-27 17:30:54.180602,2023-10-02 17:30:54.180602,TIFF,1056.3,5,es,Activo,Público,María Rodríguez,3.0,
AHB-2018-1033,Oficio #956,Oficio,Oficios,Planeación,2018-10-10 14:24:28.896321,2019-10-08 14:24:28.896321,PNG,6732.0,45,es,Inactivo,Reservado,María Rodríguez,,
AHB-2022-1249,Certificado #310,Certificado,Certificados y Constancias,,2023-10-31 06:48:21.672240,2025-08-01 06:48:21.672240,PNG,4342.9,31,es,Transferido,Reservado,Ana García,,
AHB-2020-1126,Resolución #866,Resolución,Resoluciones Administrativas,hacienda,2020-12-13 16:38:55.785953,2021-01-21 16:38:55.785953,DOCX,2633.9,18,es,Eliminado,Reservado,Laura Sánchez,4.0,
AHB-2021-1150,Memorando #083,Memorando,Memorandos,Archivo Histórico,2021-07-06 23:34:54.983277,2021-09-08 23:34:54.983277,PNG,2782.9,61,es,Eliminado,Reservado,Ana García,4.0,
AHB-2022-1220,Circular #238,Circular,Circulares,Jurídica,2023-02-25 02:03:12.642140,2024-03-02 02:03:12.642140,PDF,3297.7,45,es,Inactivo,Confidencial,Laura Sánchez,2.0,
AHB-2018-1046,Contrato #149,Contrato,Contratos y Convenios,Secretaría General,2019-01-29 12:32:18.461538,2021-01-25 12:32:18.461538,DOCX,3664.9,32,es,Eliminado,Confidencial,María Rodríguez,2.0,
AHB-2021-1170,Oficio #241,Oficio,Oficios,Secretaría General,2021-12-24 17:51:34.314381,2023-01-25 17:51:34.314381,DOCX,2405.2,80,es,Activo,Confidencial,María Rodríguez,4.0,
AHB-2021-1155,Circular #880,Circular,Circulares,Planeación,2021-08-18 09:24:04.816053,2023-01-17 09:24:04.816053,DOCX,2487.7,54,es,Inactivo,Reservado,Juan Martínez,3.0,
AHB-2021-1188,Acta #307,Acta,Actas de Reunión,Hacienda,2022-05-27 16:48:33.712374,2024-02-04 16:48:33.712374,TIFF,6900.7,61,es,Inactivo,Público,María Rodríguez,1.0,
AHB-2021-1175,,Decreto,Decretos,,2022-02-05 15:40:44.147157,2022-03-31 15:40:44.147157,,411.8,74,es,Eliminado,Público,Juan Martínez,,
AHB-2022-1241,Circular #307,Circular,Circulares,Archivo Histórico,2023-08-23 20:29:41.939799,2025-05-17 20:29:41.939799,PNG,4780.6,69,es,Inactivo,Confidencial,Carlos López,4.0,
AHB-2019-1054,Oficio #140,Oficio,Oficios,Hacienda,2019-04-08 07:50:58.193979,2019-10-01 07:50:58.193979,PNG,6004.7,32,es,Activo,Confidencial,Laura Sánchez,2.0,
AHB-2022-1213,Oficio #635,Oficio,Oficios,Archivo Histórico,2022-12-27 05:54:22.876254,2024-11-28 05:54:22.876254,PDF,6113.8,29,es,Activo,Confidencial,María Rodríguez,2.0,
AHB-2021-1189,Solicitud #926,Solicitud,Solicitudes Ciudadanas,Jurídica,2022-06-04 23:58:23.678929,2022-11-05 23:58:23.678929,PNG,957.0,8,es,Transferido,Reservado,Juan Martínez,3.0,
AHB-2019-1066,Informe #274,Informe,Informes de Gestión,Secretaría General,2019-07-19 12:48:57.792642,2021-01-06 12:48:57.792642,PDF,3814.8,64,es,Activo,Reservado,Carlos López,1.0,
AHB-2020-1119,Acta #515,Acta,Actas de Reunión,Secretaría General,2020-10-14 19:30:06.020066,2020-12-11 19:30:06.020066,PDF,2267.5,78,es,Activo,Público,Laura Sánchez,,
AHB-2018-1037,Oficio #723,Oficio,Oficios,Planeación,2018-11-13 19:03:48.762541,2020-02-03 19:03:48.762541,PDF,7260.1,66,es,Activo,Público,Carlos López,5.0,
AHB-2020-1103,Certificado #763,Certificado,Certificados y Constancias,Secretaría General,2020-05-31 03:52:46.555183,2021-12-31 03:52:46.555183,JPEG,2929.4,65,es,Inactivo,Reservado,Ana García,4.0,
AHB-2023-1267,Circular #282,Circular,Circulares,Hacienda,2024-04-02 01:45:21.070234,2025-04-14 01:45:21.070234,PNG,3565.7,62,es,Inactivo,Público,Laura Sánchez,3.0,
AHB-2023-1264,Certificado #850,Certificado,Certificados y Constancias,Secretaría General,2024-03-07 05:15:51.170568,2025-01-18 05:15:51.170568,TIFF,6116.7,21,es,Activo,Público,Juan Martínez,2.0,
AHB-2018-1012,Acta #819,Acta,Actas de Reunión,Jurídica,2018-04-14 02:57:59.598662,2018-04-22 02:57:59.598662,JPEG,3001498.523751928,70,es,Inactivo,Confidencial,Ana García,1.0,
AHB-2019-1065,Memorando #520,Memorando,Memorandos,Secretaría General,2019-07-11 01:39:07.826086,2020-08-25 01:39:07.826086,TIFF,1946.4,40,es,Transferido,Confidencial,Laura Sánchez,3.0,
AHB-2020-1110,Contrato #680,Contrato,Contratos y Convenios,Secretaría General,2020-07-29 22:01:36.321070,2020-12-31 22:01:36.321070,PNG,4946.5,17,es,Transferido,Confidencial,Ana García,2.0,
AHB-2018-1009,,Acta,Actas de Reunión,,2018-03-19 13:28:29.698996,2019-04-28 13:28:29.698996,,6671.5,80,es,Transferido,Confidencial,María Rodríguez,,
AHB-2019-1081,Solicitud #496,Solicitud,Solicitudes Ciudadanas,Jurídica,2019-11-25 02:16:27.290969,2020-11-17 02:16:27.290969,JPEG,7268.8,61,es,Activo,Reservado,María Rodríguez,5.0,
AHB-2022-1204,Decreto #699,Decreto,Decretos,Jurídica,2022-10-11 08:25:53.177257,2023-01-06 08:25:53.177257,JPEG,3074.0,46,es,Transferido,Reservado,Carlos López,4.0,
AHB-2021-1166,Acta #555,Acta,Actas de Reunión,Secretaría General,2021-11-20 16:12:14.448160,2022-05-02 16:12:14.448160,TIFF,6093.7,75,es,Eliminado,Confidencial,Juan Martínez,1.0,
AHB-2018-1024,Resolución #935,Resolución,Resoluciones Administrativas,Planeación,2018-07-25 18:55:59.197324,2019-01-21 18:55:59.197324,DOCX,6409.0,54,es,Inactivo,Público,Ana García,,
AHB-2022-1203,,Memorando,Memorandos,,2022-10-02 18:16:03.210702,2024-09-27 18:16:03.210702,,6216.8,70,es,Eliminado,Público,Ana García,,
AHB-2021-1195,Memorando #301,Memorando,Memorandos,Jurídica,2022-07-26 13:57:23.478260,2023-07-20 13:57:23.478260,PDF,6498.6,62,es,Activo,Reservado,María Rodríguez,2.0,
AHB-2022-1202,Decreto #422,Decreto,Decretos,Planeación,2022-09-24 10:06:13.244147,2024-05-26 10:06:13.244147,PDF,4966.4,44,es,Inactivo,Reservado,Laura Sánchez,4.0,
AHB-2021-1180,Solicitud #779,Solicitud,Solicitudes Ciudadanas,Planeación,2022-03-20 05:29:53.979933,2023-02-21 05:29:53.979933,PNG,6034.7,41,es,Activo,Público,Carlos López,5.0,
AHB-2023-1290,Circular #225,Circular,Circulares,Jurídica,2024-10-15 14:31:30.301003,2025-02-20 14:31:30.301003,PNG,59.2,78,es,Eliminado,Público,Laura Sánchez,1.0,
AHB-2022-1234,Solicitud #560,Solicitud,Solicitudes Ciudadanas,Hacienda,2023-06-24 19:20:52.173913,2023-10-06 19:20:52.173913,DOCX,962.5,11,es,Eliminado,Reservado,Ana García,4.0,
AHB-2023-1259,Resolución #589,Resolución,Resoluciones Administrativas,Hacienda,2024-01-24 09:26:41.337792,2024-11-11 09:26:41.337792,PNG,4717.6,61,es,Inactivo,Confidencial,María Rodríguez,1.0,
AHB-2022-1224,Memorando #471,Memorando,Memorandos,Planeación,2023-03-31 04:42:32.508361,2023-10-02 04:42:32.508361,JPEG,2340.4,16,es,Inactivo,Confidencial,Ana García,2.0,
AHB-2023-1262,Contrato #303,Contrato,Contratos y Convenios,Secretaría General,2024-02-19 04:56:11.237458,2025-08-19 04:56:11.237458,PNG,6580.3,1,es,Inactivo,Confidencial,María Rodríguez,4.0,
AHB-2022-1214,Informe #700,Informe,Informes de Gestión,Secretaría General,2023-01-04 19:04:12.842809,2024-06-27 19:04:12.842809,DOCX,5022.8,39,es,Activo,Confidencial,María Rodríguez,4.0,
AHB-2018-1048,Certificado #196,Certificado,Certificados y Constancias,Jurídica,2019-02-15 22:51:58.394648,2020-04-18 22:51:58.394648,PDF,7043.1,13,es,Inactivo,Público,María Rodríguez,5.0,
AHB-2018-1016,Solicitud #319,Solicitud,Solicitudes Ciudadanas,Archivo Histórico,2018-05-18 04:37:19.464882,2018-10-06 04:37:19.464882,PDF,3842.0,32,es,Activo,Reservado,Laura Sánchez,5.0,
AHB-2022-1211,,Contrato,Contratos y Convenios,,2022-12-10 07:34:42.943143,2024-10-27 07:34:42.943143,,7682.9,72,es,Transferido,Confidencial,Laura Sánchez,,
